English,Serbian
I,Ja
to,do
it,to
and,i
that,to
of,iz
is,je
in,u
what,sta
we,mi
me,ja
this,ovo
he,on
for,Za
my,moj
on,na
have,imati
your,tvoj
do,uciniti
was,bio
no,ne
not,ne
be,biti
are,su
know,znati
can,biti u stanju
with,sa
but,ali
all,sve
so,tako
just,samo
there,tamo
here,ovdje
they,oni
like,poput
get,dobiti
she,ona
go,ici
if,ako
right,pravo
out,vani
about,O
up,gore
at,u
him,njega
now,Sad
one,jedan
come,dodji
well,U redu
her,ona
how,Kako
yeah,Da
will,volja
got,prije
want,zena
think,razmisliti
as,poput
see,vidjeti
did,prije
good,U redu
who,SZO
why,zasto
from,iz
let,dozvola
his,njegova
yes,Da
when,kada
going,odlazak
time,vrijeme
okay,U redu
back,natrag
look,paziti
us,nas
would,bilo bi
them,njih
where,gde
were,su
take,pokupiti
then,onda
had,posudje
or,ili
been,biti
our,nas
gonna,volja
tell,izgovoriti
really,stvarno
man,covjek
some,neki
say,izgovoriti
could,Mogao
didn't,nije
by,od
need,potreba
something,nesto
has,je
too,Takodjer
more,vise
way,put
down,nadmasiti
make,napraviti
very,vrlo
never,Nikad
only,samo
people,ljudi
over,preko
because,za
little,malo
please,molim te
love,ljubav
should,treba
mean,znaciti
said,rekao
sorry,izvinjavam se
give,dati
off,vani
thank,hvala
any,bilo koji
two,dvoje
even,cak i
much,mnogo
doing,uraditi
sure,naravno
thing,stvar
these,ovo
help,pomoci
first,Prvo
into,u
anything,bilo sta
still,jos uvijek
find,pronaci
life,zivot
nothing,nista
sir,Gospodin
day,dan
god,Bog
work,Raditi
their,njihovo
again,opet
maybe,Mozda
must,moram
before,Prije
other,drugi
wait,cekati
stop,prestati
call,nazvati
after,poslije
won,pobijediti
talk,razgovarati
away,Podudarati
than,nego
thought,misao
home,Kuca
night,noc
put,staviti
great,veliki
those,oni
last,zadnji
better,bolji
everything,sve
told,rekao
mr.,Gospodin.
new,Novo
things,stvari
always,Uvek
keep,zadrzati
long,dugacak
years,godine
leave,biti odsutan
does,Da
money,Novac
around,oci
doesn,ne
name,ime
place,mjesto
ever,i kada
feel,osjecati
guys,djecaci
father,Otac
guy,momak
made,napravljen
old,star
which,koji
big,veliki
lot,mnogo
done,gotov
hello,zdravo
nice,lijep
believe,povjerenje
girl,djevojka
someone,neko
fine,uredu
thanks,hvala ti
wanted,zeljan
kind,Vrsta
coming,dolazak
house,kuca
every,svaki
ok,uredu
through,kroz
being,biti
course,kurs
stay,ostati
left,lijevo
dad,tata
enough,dosta
happened,dogodilo se
came,Dodji
mother,majka
wrong,netacan
world,svijet
bad,los
might,snaga
three,tri
today,danas
listen,slusati
another,drugi
understand,razumjeti
hear,ne govori
remember,zapamtiti
ask,pitati
own,vlastiti
same,istovremeno
show,Pokazati
else,drugi
kill,ubiti
talking,razgovor
found,pronadjen
next,sljedeci
getting,dobiti
care,briga
car,automobil
looking,izgleda
son,sinus
try,pokusati
woman,zena
went,otisao
hi,zdravo
dead,smrt
many,mnogo
mind,um
friend,prijatelj
best,najbolji
mom,mama
hell,pakao
morning,jutro
trying,probati
boy,djecak
together,zajedno
yourself,sami
job,posao
saw,vidjen
family,porodica
real,stvarno
without,bez
baby,beba
room,soba
move,pomaknuti se
most,najvise
seen,vidjen
live,zivjeti
miss,Nedostajati
actually,zapravo
shit,Sranje
both,oboje
heard,slusao sam
once,jednom
ready,spreman
head,glava
called,pozvan
used,koristi se
idea,Ideja
knew,znati
hold,drzati
happy,sretan
door,vrata
such,takav a
brother,brat
also,Takodjer
pretty,prilicno
bit,malo
took,pokupiti
haven,skloniste
yet,jos
men,muskarci
whole,cijeli
start,pocetak
use,upotreba
while,dok
since,Iz
wife,zena
days,dani
guess,pogoditi
tomorrow,sutra
matter,mate
meet,sastanak
bring,donijeti
tonight,veceras
everyone,za sve
run,trcati
wanna,zelja
hard,tvrd
alone,sam
myself,sami
school,skolski
gone,otisao
end,kraj
saying,govoriti
phone,telefon
play,igra
looks,izgled
couldn,neslaganje
problem,problem
few,malo
friends,prijatelji
gotta,mora
ago,prije
open,otvoren
anyone,bilo ko
killed,ubijen
hope,nada
face,lice
until,do
lost,izgubljen
police,Policija
excuse,izgovor
turn,red
business,raditi
case,slucaj
wants,zelja
says,kaze
TRUE,ISTINA
die,umrijeti
heart,srce
soon,Ubrzo
each,svaki
worry,zabrinut
later,kasnije
year,godine
watch,paziti
music,muzika
hand,rucno
having,ko ima
probably,vjerovatno
beautiful,prilicno
doctor,doktor
sit,sjesti
eat,jesti
thinking,razmisljati
young,mlad
second,na drugom mestu
working,Raditi
water,voda
person,osoba
part,dio
kids,djeca
late,kasno
stuff,ublaziti
exactly,upravo tako
under,ispod
death,smrt
minute,minut
pay,platiti
crazy,lud
forget,zaboraviti
everybody,sve
kid,dijete
change,promijeniti
gave,dao
happen,Da se desi
damn,prokletstvo
five,pet
drink,piti
far,daleko
knows,zna
its,njegova
whatever,kako god
eyes,oci
shut,zatvoriti
aren,arena
hit,pogoditi
taking,uzimanje
easy,svjetlost
times,prolaz
check,provjeriti
hands,oruzje
minutes,minut
deal,sporazum
different,razlicit
means,napraviti
point,tacka
inside,u
makes,uciniti
asked,pitan
somebody,neko
mine,minimalan
making,pravljenje
body,Tijelo
afraid,biti uplasen
sleep,spavati
chance,sansa
dear,duso
quite,prilicno
four,cetvoro
anyway,Ionako
close,blizu
party,zabava
fun,zabava
against,protiv
word,Rec
comes,dolazi
important,bitan
set,set
shall,Da
story,pric
number,Broj
daughter,kcer
least,bar
waiting,cekanje
hurt,ozlijediti
wish,zeljeti
moment,obrtni moment
fight,boriti se
week,Sedmica
husband,muz
girls,djevojke
rest,odmor
married,ozenjen
fire,vatra
game,igra
nobody,niko
mr,gospodin
children,djeca
side,sa strane
stand,stand
read,procitati
though,i ako
cut,rezati
started,pocnite
sister,sestra
supposed,navodno
between,izmedju
child,dijete
goes,ide
hours,sati
speak,Govoriti
women,ziva
behind,i za
almost,skoro
truth,istina
blood,krv
able,fit
lady,gospodja
anymore,vise
playing,igranje
gets,preci preko
shot,pucanj
reason,razlog
trouble,nevolje
break,Pauza
war,rat
city,grad
walk,hodati
town,Grad
trust,povjerenje
dr.,dr.
met,upoznati
office,u liniji
question,Pitanje
brought,donio
yours,tvoj
welcome,Dobrodosli
high,visoko
couple,Par
half,pola
died,umro
cool,hladno
free,slobodan
either,ili
seems,izgleda kao
power,snaga
whoa,koji
bye,zdravo
buy,kupiti
telling,govor
honey,med
tried,Pokusao
front,prednji dio
team,tim
answer,odgovor
gun,pistolj
boys,djecaci
line,linija
send,Posalji
news,Vijesti
stupid,glup
bed,Nadimka
hurry,pozuriti
full,pun
months,mesecima
save,sacuvati
sometimes,ponekad
become,postati
along,duz
hate,mrznja
food,hrana
outside,na terenu
light,svjetlost
needs,potreba
dog,pas
country,zemlja
clear,jasno
order,naruciti
em,primjena
fact,cinjenica
lord,Gospodar
captain,kapetan
six,sest
hot,toplo
funny,smijesan
black,crn
mrs.,gdja.
alive,ziv
pick,izabrati
feeling,Osecaj
living,zivjeti
cause,prouzrokovati
ahead,naprijed
lose,izgubiti
king,Kralj
plan,Plan
dinner,rucati
sighs,uzdahnuti
sort,Vrsta
leaving,odlazak
shouldn,ponekad
running,trcati
boss,sef
alright,uredu
promise,obecati
taken,Uzeti
safe,sef
ma,gospodin
book,knjiga
sent,poslati
white,bijeli
hour,lekcija
anybody,bilo ko
small,malo
perfect,savrsen
lives,zivi
special,poseban
parents,roditelji
john,Jak
himself,sami
perhaps,Mozda
sounds,zvuci
serious,ozbiljan
sick,bolestan
company,Drustvo
scared,uplasen
uncle,ujak
poor,los
red,crvena
past,proslost
earth,zemlja
possible,moguci
shoot,Pucati
touch,dodir
sound,zvuk
top,na vrhu
ass,dupe
laughs,smeh
cannot,ne moze
asking,pitati
win,pobijediti
glad,draga
control,kontrola
hmm,hmmm
human,covjek
drive,voziti
hair,kosa
jack,Jack
bitch,kucka
luck,sreca
murder,ubistvo
happens,Desava se
air,zrak
ten,deset
daddy,tata
finally,konacno
chuckles,mjehuric
fast,brz
cold,hladno
seem,izgled
laughing,smijati se
words,izgovoriti
hospital,bolnica
street,Ulica
hang,objesiti
dance,plesati
meeting,sastanak
till,do
others,drugi
catch,uhvatiti
follow,pratiti
sense,Osecaj
sex,seks
lie,laz
evening,veceri
master,magistarska diploma
known,poznat
dream,sanjati
write,pisati
million,milion
voice,glas
sweet,slatko
rather,radije bih
felt,osjetio
sign,znak
lucky,sretan
somewhere,negdje
bet,okladiti se
jesus,Isus
longer,duze
calling,pozivanje
worked,preci
quiet,miran
looked,izgled
less,manje
pull,povuci
beat,pobijediti
careful,oprezan
coffee,kafa
return,vrati se
secret,tajna
weeks,sedmicama
weren,komercijalno
date,datum
seeing,vidjeti
fall,pasti
given,Da to
ooh,Ooh
fault,krivnja
straight,ravno
takes,pretraziti
song,pjesma
future,buducnost
gentlemen,gospodo
loved,voljen
changed,promijenjen
road,put
calm,miran
wonderful,prekrasan
mad,lud
turned,pretvoren
drop,pad
ladies,dame
learn,nauciti
step,Korak
absolutely,apsolutno
early,rano
explain,objasniti
clean,cist
piece,komad
yesterday,jucer
throw,bacanje
picture,slika
land,zemljiste
feet,stopala
wonder,cudo
questions,pitanja
speaking,razgovor
worth,vrijedi
darling,med
dude,dude
giving,davanje
president,Predsjednik
eye,oci
quick,brzo
moving,okolo
figure,figura
state,zemlja
strong,jak
sam,sam
none,niko
amazing,Nevjerovatno
ones,o ne
works,radovi
act,uticati
needed,potreban
weird,cudan
law,zakon
worried,Zabrinut
report,izvjestaj
goodbye,zbogom
missing,nestao
choice,izbor
happening,dogadjaj
chief,sef
wedding,Vjencanje
strange,cudan
general,Opci
pain,bol
kidding,sala
decided,odlucan
pass,preci preko
tired,umoran
class,klasa
officer,oficir
kept,priveden
wake,probudi se
worse,izgorjeti
busy,Zauzeto
eh,eh
mistake,greska
kiss,poljubac
court,sud
building,Zgrada
finish,kraj
during,za vrijeme
age,Dob
ship,brod
caught,uhvacen
marry,ozeniti se
meant,namjenjeno za
sell,prodati
dark,mrak
watching,gledanje
system,sistem
suppose,pretpostaviti
evidence,dokaz
movie,Film
ride,Voznja
t,t
completely,u potpunosti
mouth,usta
totally,potpuno
birthday,rodjendan
tv,Televizija
forgive,oprostiti
born,rodjen
imagine,zamisliti
information,info
instead,umjesto toga
definitely,Definitivno
security,sigurnost
certainly,sigurno
film,Film
month,mjesec
lying,lezanje
unless,ako ne
train,voziti
seven,sedam
wear,nositi
clothes,odjeca
michael,Machael
hotel,Hotel
christmas,Bozic
attack,napad
hasn,Hasan
round,okrugli
expect,ocekivati
sing,pjevati
terrible,fenomenalan
george,George
bag,torba
history,istorija
blue,Plavi
near,blizu
broke,prekrsiti
station,stanica
seriously,ozbiljno
forever,zauvijek
david,David
frank,iskren
except,osim
thinks,Mysts
message,naruciti
entire,cijeli
joe,Joe
table,stol
talked,razgovarati
across,preko
rock,Rock
lovely,Ljupko
handle,rucka
middle,usred
buddy,prijatelj
paid,placen
protect,zastititi
using,Koriscenje
floor,pod
ran,trcati
swear,zaklinjati se
spend,izvesti
situation,Situacija
ring,zvoniti
anywhere,bilo gdje
dangerous,opasan
bill,racun
york,York
army,vojska
lead,voditi
bought,kupiti
finished,preko
fair,sajam
sun,Sunce
letter,pismo
fool,budala
attention,paznja
club,klub
simple,jednostavan
interesting,zanimljivo
space,prostor
test,test
box,kutija
group,grupa
single,jedan
sitting,sjedeci
marriage,brak
join,pridruziti se
fear,strah
d,d
peace,mir
forgot,zaboravljen
force,sila
short,kratko
normal,normalan
charlie,Charlie
present,poklon
enjoy,uzivati
mike,Mike
crime,zlocin
horse,konji
ground,nazvati
american,americko
count,brojati
area,regija
charge,popuniti
honor,cast
lunch,rucak
miles,milja
radio,radio
idiot,idiot
ball,lopta
surprise,iznenadjenje
paper,papir
key,kljuc
boat,camac
quickly,brzo
gold,zlato
bar,bar
fish,riba
mark,oznaciti
tom,Tomma
wearing,nosenje
crying,plakanje
accident,nesreca
government,pravilo
eight,osam
fell,pasti
cover,pokriti
certain,izvjestan
interested,zainteresovan
deep,dubok
star,Zvezda
sea,more
agree,slagati se
problems,Problemi
detective,Detektiv
prison,zatvor
major,glavni
stick,zalijepiti
offer,ponuda
difficult,tvrd
smart,skroman
personal,licni
record,zapisati
stopped,prestati
hide,sakriti
whether,da li
bank,banka
trip,putovanje
relax,opustiti se
america,Amerika
public,javni
list,popis
afternoon,popodne
brain,mozak
fix,popraviti
bastard,kopile
proud,ponosan
tea,caj
service,servis
screaming,vristanje
forward,naprijed
angry,bijesan
park,park
soul,dusa
fighting,boriti se
peter,Peter
rich,bogat
agent,agent
blow,probusiti
paul,Paul
dress,haljina
mary,Maria
missed,Propusten
scene,scena
killing,ubistvo
standing,stojeci
saved,sacuvan
mm,mm
respect,postovanje
killer,ubojica
ice,led
mess,nered
tough,tvrd
feels,osecaj
church,crkva
sad,tuzan
cell,mobilni
drunk,pijan
